Biome,Lat_Long
Woodland/shrubland,40.31_-8.39
Temperate forest,42.14_2.45
Woodland/shrubland,46.191483_18.848950
Woodland/shrubland,46.22333_18.86804
Woodland/shrubland,46.22353_18.86609
Woodland/shrubland,40.5_-3.3
Temperate grassland/desert,40.45167_-108.5244
Tropical rain forest,10.43333_-84.01667
Tropical seasonal forest/savanna,22.429153_114.180095
Tropical seasonal forest/savanna,22.451290_114.155976
Temperate forest,28.000000_93.516667
Woodland/shrubland,40.078889_-8.202778
Woodland/shrubland,41.776944_2.464444
Woodland/shrubland,41.825556_2.45
Woodland/shrubland,41.7525_2.397778
Woodland/shrubland,41.733889_2.504722
Woodland/shrubland,41.863333_2.658889
Tropical rain forest,10.1_-84.02
Tropical seasonal forest/savanna,-27.36437_-52.13473
Temperate forest,-32.0140_-52.0140
Temperate forest,35.038066_-83.451637
Temperate forest,37.369212_-80.532646
Temperate forest,37.210444_-80.085834
Temperate forest,37.254507_-80.600610
Temperate forest,37.088754_-80.403017
Temperate forest,30.30_114.21
Temperate forest,46.97_-123.27
Temperate forest,46.300_-123.00
Temperate forest,46.97_-123.04
Temperate forest,48.483333_7.070278
Temperate forest,48.4175_7.071111
Temperate forest,48.448889_7.059167
Temperate forest,48.483056_7.092778
Temperate forest,48.451389_7.07
Temperate forest,48.44_7.065
Tropical seasonal forest/savanna,29.91667_-90.71667
Tropical seasonal forest/savanna,29.6485786_-82.3492714
Woodland/shrubland,43.43083_2.223056
Woodland/shrubland,55.7119_13.2035
Tropical rain forest,5.1667_-64.1667
Temperate forest,43.21028_-3.262778
Temperate forest,43.31667_-3.267222
Temperate forest,43.32583_-3.291389
Woodland/shrubland,47.715_16.686
Woodland/shrubland,41.2_-112.0
Temperate forest,39.273750_-77.279275
Temperate forest,39.241675_-76.928547
Temperate forest,39.214397_-77.079611
Temperate forest,39.241128_-76.923936
Temperate forest,39.278733_-77.282786
Temperate forest,39.214511_-77.089528
Temperate forest,35.958069_-84.279284
Tropical seasonal forest/savanna,-1.583333_-56.416667
Tropical seasonal forest/savanna,-16.40_-56.67
Woodland/shrubland,40.51583_-8.30639
Woodland/shrubland,40.07889_-8.20833
Temperate forest,43.33111_-3.32694
Temperate forest,43.32500_-3.33472
Woodland/shrubland,40.217_-7.933
Woodland/shrubland,40.07889_-8.20278
Woodland/shrubland,-34.74000_-59.10750
Woodland/shrubland,-34.70194_-59.07667
Temperate forest,49.87_20.03
Temperate forest,47.85_15.07
Temperate forest,47.7874_8.3244
Temperate forest,42.94305556_1.09055556
Temperate forest,42.866667_1.750000
Woodland/shrubland,54.100000_10.250000
Tropical seasonal forest/savanna,-15.948237_-47.949612
Temperate grassland/desert,38.165_-2.216389
Temperate grassland/desert,38.21389_-1.96278
Temperate grassland/desert,37.72694_-1.86083
Temperate grassland/desert,38.240278_-1.019167
Temperate grassland/desert,37.77167_-1.8883
Temperate grassland/desert,38.23083_-1.08889
Temperate grassland/desert,37.7744_-1.88694
Temperate grassland/desert,38.18083_-1.4161
Temperate grassland/desert,38.226586_-1.5261
Temperate forest,35.061295_-83.432722
Temperate forest,45.716667_-64.165556
Woodland/shrubland,40.533611_-8.154167
Woodland/shrubland,40.541111_-8.121667
Tropical seasonal forest/savanna,31.347335_ -89.417514
Tropical seasonal forest/savanna,31.352585_-89.417445
Woodland/shrubland,37.066667_-3.016667
Woodland/shrubland,37.166667_-3.166667
Temperate grassland/desert,37.016667_-2.166667
Temperate grassland/desert,37.083333_-2.066667
Temperate grassland/desert,37.083333_-2.050000
Temperate grassland/desert,37.150000_-2.000000
Subtropical desert,36.833333_-2.633333
Temperate forest,41.146036_-81.341134
Temperate forest,38.793417_-119.963639
Temperate forest,38.875611_-120.081972
Temperate forest,38.791056_-120.007778
Woodland/shrubland,51.855000_5.899444
Woodland/shrubland,51.555556_5.504444
Temperate forest,35.055517_-83.432194
Temperate forest,35.060648_ -83.431842
Temperate forest,32.908333_-87.441667
Temperate rain forest,49.266667_-122.566667
Woodland/shrubland,38.914138_116.005767
Temperate forest,27.8666667_99.68333333333334
Temperate forest,26.8833333_100.13333333333334
Woodland/shrubland,25.0333333_102.7
Woodland/shrubland,45.1044444_11.099722222222223
Temperate forest,35.032275_-83.443154
Woodland/shrubland,-34.7913565789331_-57.9973943048482
Temperate forest,43.2088889_-3.2675
Woodland/shrubland,42.9966667_-2.8797222
Woodland/shrubland,42.9997222_-2.883333
Temperate forest,43.1472222_-3.393333333333333
Temperate forest,43.21_-3.26
Temperate forest,43.3086111_-3.258611111111111
Woodland/shrubland,42.975_ -3.028611111111111
Temperate forest,43.0291667_ -3.0894444444444447
Woodland/shrubland,42.9863889_ -2.970277777777778
Temperate forest,43.1472222_ -3.393333333333333
Temperate forest,43.17_ -3.358888888888889
Temperate forest,43.3086111_ -3.2608333333333333
Tropical seasonal forest/savanna,3.3166667_-76.88333333333334
Woodland/shrubland,31.692695_-83.702681
Woodland/shrubland,41.5186111_2.350556
Woodland/shrubland,41.5469444_2.229166666666667
Woodland/shrubland,41.4622222_2.163333333333333
Woodland/shrubland,41.4938889_2.2708333333333335
Woodland/shrubland,41.7713889_2.269722222222222
Tropical seasonal forest/savanna,-31.6608333_-60.586666666666666
Woodland/shrubland,33.18799_-81.638943
Woodland/shrubland,33.167722_-81.630115
Temperate forest,50.183333_-98.316667
Temperate forest,35.95947_-84.28041
Temperate forest,42.716667_141.6
Temperate forest,42.716667_141.7
Temperate forest,42.716667_141.8
Temperate forest,42.716667_141.9
Temperate forest,42.716667_141.10
Temperate forest,42.716667_141.11
Temperate forest,42.716667_141.12
Temperate forest,42.716667_141.13
Woodland/shrubland,35.033333_-111.716667
Temperate forest,31.233333_102.883333
Tropical seasonal forest/savanna,-14.071667_ 131.953333
Tropical seasonal forest/savanna,-14.170000_ 132.118333
Woodland/shrubland,32.066667_118.866667
Temperate forest,-37.759_175.109
Tropical seasonal forest/savanna,18.166111_-88.524444
Temperate rain forest,49.318_-122.553
Temperate forest,45.57_-84.75
Tropical seasonal forest/savanna,31.609348_-97.307882
Tropical seasonal forest/savanna,-27.500000_32.250012
Temperate forest,35.059807_-83.430569
Temperate grassland/desert,42.65_-114.6333
Temperate forest,47.275486_8.218020
Tropical seasonal forest/savanna,26.493333_ -80.216667
Temperate forest,59.91_-151.49
Temperate forest,59.78_-151.55
Temperate forest,59.86_-151.66
Temperate forest,60.05_-151.34
Temperate forest,60.05_-151.63
Temperate forest,59.84_-151.78
Tropical seasonal forest/savanna,24.75_121.56
Tropical seasonal forest/savanna,12.800000_74.916667
Tropical rain forest,10.433333_-84.016667
Temperate forest,47.583333_133.516667
Tropical seasonal forest/savanna,-21.650000_-41.183333
Woodland/shrubland,24.866667_102.650000
Temperate forest,34.432534_-89.389323
Tropical seasonal forest/savanna,10.6958333_-9.4825
Tropical seasonal forest/savanna,10.5036111_-9.47
Temperate forest,42.08055556_-75.98611111
Temperate forest,45.546350_-84.752967
Woodland/shrubland,51.139865_3.336486
Woodland/shrubland,42.396888_-84.065646
Woodland/shrubland,42.40833_-83.80833
Temperate forest,43.492_141.423
Tropical seasonal forest/savanna,-27.937694_152.770300
Tropical seasonal forest/savanna,27.42611_-80.40944
